riddle,choice0,choice1,choice2,choice3,choice4,label
网上各室用意不同 （打一书名）,三言两拍,蒲松龄,聊斋志异,红楼梦,神话小说,2
走穴 （俗语三字）,别有用心,钻空子,谋取暴利,蒙混过关,踩红线,1
三八节开支 （打三字歌曲名）,似水流年,无言的结局,亦舒说,女人花,芳华绝代,3
耳朵竖大刀，身穿白衣袍，眼睛像宝石，尾巴短又巧。 （打一动物）,小鸭子,白兔,狸猫,咪咪,妞妞,1
招降纳叛 （打一成语）,忍辱负重,逆来顺受,委曲求全,麻木不仁,有骨气,1
头生双角细微微，身穿花衣到处飞，说话唱歌它不会，跳舞姿势最优美。 （打一动物）,瓢虫,蝴蝶,花儿,一只小蜜蜂,蜻蜓,1
女英烈传 （中国电影）,文献通考,月令七十二候集解,群芳谱,木芍药,齐民要术,2
妈妈好像一长杆，儿子活像一酒坛，妈妈走路要打伞，儿吹喇叭嘲天喊。 （打一植物）,菠菜,扁豆,红薯,南瓜,胡萝卜,3
教你疲劳顿消 （打一成语）,传道授业,师者,克己奉公,诲人不倦,德才兼备,3
为赋新词强说愁 （打一外国名著）,爱情笔记,少年维特的烦恼,包法利夫人,生命不能承受之轻,战争与和平,1
春节之日有谜会 （打一成语）,以讹传讹,道听途说,三人成虎,祸从口出,积毁销骨,2
后帝的隐私 （打一古代著作）,明通鉴,清太祖高皇帝实录,陵川集,元朝秘史,契丹国志,3
“一条大河波浪宽，风吹稻花香两岸” （打一称谓）,廖昌永,戴玉强,音响师,室内乐,歌唱家,4
却折垂扬送归客 （书名）,赛金花本事,柳如是别传,陈寅恪的最后二十年,遗稿,鲁迅全集,1
我有一个好帮手，书本文具帮我拿，每天跟我上学校。 （打一物）,上学,背篓,文具盒,书包,作业本,3
向前才有出路 （打一报刊名）,上有老下有小,实现财务自由,退休生活,房奴,闲暇时间,2
假眼（打一成语）,聚精会神,呆呆,直勾勾,目不转睛,眼巴巴,3
小尉迟坐探祝家庄 （打一成语）,耳目一新,别出心裁,异彩纷呈,叹为观止,引人入胜,0
小小狗，依墙走，走一步，咬一口。 （打一常用物）,缝衣针,指甲锉,老虎钳,皮筋,剪刀,4
澳大利亚小国宝，无尾宝宝爱卖萌。 （打一动物）,树袋熊,长颈鹿,鸭嘴兽,猫头,兔子耳朵,0
有翅无毛像飞禽，一翅飞来墨松林，墨松林里吹短笛，秋风吹来才歇停。 （打一动物）,蝉,蝈蝈,知了,鸟,黄雀,0
小小姑娘心地好，哪里有虫哪里跑，别看嘴硬不露笑，森林除害立功劳。 （打一动物）,松鸭,猫头鹰,七星瓢虫,小云雀,啄木鸟,4
可以加入 （打成语一）,不知好歹,成何体统,你是什么东西,竟敢,没上没下,1
娘绕脚，爷绕脚，子孙三代都绕脚。 （打一植物）,生姜,大蒜,米醋,陈皮,干辣椒,0
不顾南北 （打一成语）,左顾右盼,东张西望,蹦蹦跳跳,心不在焉,鬼头鬼脑,1
背板过江，满腹文章，从没有偷窃心肠，为何贼名四海扬。 （打一动物）,乌贼,鳗,鳖,海葵,章鱼,0
千里共婵娟 （打一歌名）,恋曲1990,何日君再来,漫步人生路,不必在乎我是谁,一样的月光,4
祖宗留下一座桥，一边多来一边少，少的要比多的多，多的反比少的少。 （打一老式物件）,调虎离山,抱头鼠窜,声东击西,打将,算盘,4
什么东西有风吹不动，无风动。 （打一物品）,扇子,玉佩,茶壶,发簪,手帕,0
九里需里见风华 （花卉树木）,百合,山茶,刺玫,牡丹,菊花,4
因何请教 （打一古文篇目）,诲人不倦,为学,切问近思,师者,德才兼备,1
小小戏台闪闪亮，几个演员走过场，不打锣鼓不唱曲，熄掉灯火戏散场。 （打一物）,花枝招展,鬼影幢幢,忽明忽灭,走马灯,呆若木鸡,3
有了贤内助·白头格 （西药名）,息斯敏,非那根,肤轻松,曲咪新乳膏,皮康王,2
车厢文艺 （打一成语）,男男女女,吹芦笙,喜气洋洋,载歌载舞,打跳,3
山顶一头白鸡角，剥来剥去都是肉。 （打一植物）,薤白,枳实,旋复花,延胡索,荆芥,0
混沌初开 （打一成语）,天壤之别,径庭,不一样,相差无几,异曲同工,0
缺斤少两挨批评 （打一成语）,大而无当,不足为训,欺人之谈,臆说,向壁虚造,1
专访仲尼子孙家 （打成语一）,卷席,花样翻新,肆虐,无孔不入,令人发指,3
一个小妖奇，上树没高低，吃它肉没肉，剥它皮没皮。 （打一动物）,蜘蛛,虫子,老鼠,蚂蚁,苍蝇,3
青饼饼，开黄花，看东看西都由它。 （打一植物）,含羞草,铃兰,大丽花,矢车菊,向日葵,4
白日莫闲过 （称谓职务）,陈冯富珍,总干事,临时代办,首席检察官,执委会,1
十年磨一剑 （打一成语）,目光短浅,伪善,为富不仁,媚上欺下,唯利是图,4
有风身不动，一动就生风，只怕秋风起，凄凉入冷宫。 （打一物）,玉佩,发簪,茶壶,手帕,扇子,4
一水自萦秦塞曲，故人鸡黍致殷勤 （唐诗目）,桃源行,夜归鹿门歌,寻陆鸿渐不遇,渭川田家,酬张少府,3
玉器展览 （打一常用成语）,五彩缤纷,琳琅滿目,絡繹不絕,应有尽有,手工藝品,1
旅社何所营 （二字电影）,寄托,一生的伴侣,亲人,活着,归宿,4
一把大铁梳，梳齿粗又粗，请它来办事，牛拉它才出。 （打一物）,耙,石滚,耢,犁,簸箕,0
大眼睛，圆圆脸，粗短腿，爱撒娇。 （打一动物）,鹦鹉,波斯猫,金吉拉,狐狸,英短,1
变换工作是常情 （打一成语）,少不更事,聪明绝顶,涉世未深,年幼无知,懵懵懂懂,0
化妆学 （打成语一）,天方夜谭,谈何容易,不是不可能,痴人说梦,九死一生,1
寡人无忧 （打一电影）,一个和八个,快乐的单身汉,爱情与遗产,布谷鸟又叫了,沙漠追匪记,1
门外告别 （打成语一）,报答,义无反顾,赴汤蹈火,出生入死,在所不辞,4
本是夜半始交班 （打一报刊名）,宇宙飞船,高级文明,原子时代,第二次科技革命,人造卫星,2
弄潮 （四字电影）,修仙记之何仙姑传,下一站，别离,幸福最晴天,小巷名流,少爷的磨难,3
一身卷卷细毛，吃的青青野草，过了数九寒冬，无私献出白毛。 （打一动物）,花心,合得来,白羊,天蝎,摩羯,2
一物好奇妙，见了哈哈笑，矮子能长高，胖子变苗条。 （打一物）,地球仪,热狗,鸭脖子,电烤鸡,哈哈镜,4
事最稳妥 （打一成语）,事关重大,防患未然,绝不可能,十拿九稳,万无一失,4
经济管理的一面镜子 （打一古代著作）,容斋随笔,晋书,贞观政要,资治通鉴,二十四史,3
异乡分娩 （打一俗语五字）,上海闯荡,举目无亲,两眼一抹黑,人生地不熟,去打工,3
扁扁方方又长长，常年累月站路边，一行大字写脸上，告诉人们啥地方。 （打一物）,禁止掉头,电线杆,路牌,红绿灯,直行标志,2
翼德逞凶招杀身 （打一成语）,意外之财,厄运当头,飞来横祸,家破人亡,上有老下有小,2
外行话 （打一成语）,报答,出生入死,在所不辞,义无反顾,赴汤蹈火,2
合卺交杯花烛夜 （打一俗语三字）,胡搅蛮缠,对着干,唱反调,看不惯,忍气吞声,1
去似朝云无觅处 （歌曲名）,无言的结局,让一切随风,漫步人生路,老歌,梦醒时分,4
人口控制 （歌曲名）,缱绻星光下,相逢在雨中,让我欢喜让我忧,云且留住,一人有一个梦想,3
琵琶曲终空谷传 （打一成语）,溃败,走投无路,人困马乏,陷入重围,弹尽粮绝,4
小小鸟儿周身黑，秋去江南春又归，衔来泥草做新巢，一生专吃害人虫。 （打一动物）,白蝴蝶,夜莺,喜鹊,大雁,燕子,4
不知道 （打一中草药名）,天冬,将将,生地,两半,川断,2
模样像耗子，尾巴长又长，肚里有盏灯，办公常用它。 （打一物）,键盘,触摸板,鼠标,麦克风,钢笔,2
全国曲艺会演 （打鲁迅著作名一）,渔歌,南腔北调,激扬文字,人欢马叫,五湖四海,1
此曲只应天上有 （打一成语）,百灵鸟,动人心弦,美妙的歌声,天籁之音,悠远绵长,3
望眼欲穿 （三字电影）,西厢记,姊妹易嫁,十五贯,陈三两,铡美案,2
电扇定转六十分钟 （打一成语）,风行一时,滥觞,推崇备至,南向北赵,洛阳纸贵,0
远洋捕鱼指南 （打一成语）,天方夜谭,得来全不费功夫,守株待兔,大海捞针,按图索骥,3
穿钉鞋，上瓦房，看见狗，呜呜呜，爱吃肉，爱吃鱼。 （打一动物）,兔子,狗,猫,喵喵,小橘,2
33 （打一成语）,靡靡之音,歌星,百听不厌,美的旋律,出塞曲,0
目光有神 （花卉树木）,夹竹桃,使君子,秋水仙,毛茛,马缨丹,2
丈夫发福妻减肥 （打一成语）,传宗接代,自由恋爱,重男轻女,婆婆,未婚先孕,2
兀 （歌曲名）,眉户,秦腔,走西口,翻身道情,冰山上的来客,2
居里夫人 （打成语一）,半吊子,隔行如隔山,从业,门外汉,一窍不通,3
希望不大 （交通工具）,迪士尼线,摩托车,小巴,黄石码头,女司机,2
左右留唇印 （打二字称谓）,生身父母,含辛茹苦,爱人,双亲,早逝,3
空腹不宜喝龙井 （打成语一）,不知从什么时候起,茶余饭后,张家长，李家短,消遣,老生常谈,1
医院大门 （打一常言俗语四字）,肠胃,牙膏,寒凉食物,细嚼慢咽,病从口入,4
能使妖魔胆尽摧，身如束帛气如雷。一声震得人方恐，回首相看已化灰。 （打一物）,爆竹,灯笼,鞭炮,元宵,喧天,0
解方程，猜灯谜。 （打一成语）,似是而非,不得要领,下断语,死心眼儿,寻根究底,4
有只虫儿怪，点盏灯笼随身带，黑夜举灯满天飞，绿光闪闪好可爱。 （打一动物）,飞蛾,繁星,月亮,萤火虫,蝴蝶,3
百步穿杨目不移 （打一成语）,好事多磨,天作之合,命中注定,得到幸福,半点不由人,2
匠心独具要出新 （打一网络常用称谓）,哥哥,亲,闺女,爹妈,姐夫,1
挚 （电视剧名）,爱的旅途,与你并肩同行,牵手,不期而遇,走向未来,2
桑田变沧海 （打成语一）,节度使,达鲁花赤,改土归流,明朝,宣政院,2
土壁土门墙，子子孙孙做小偷，出门碰到白胡子老头，呜乎呀呜乎。 （打一动物）,狐狸,青蛙,兔子,臭鼬,老鼠,4
联合造林勤出力 （花卉）,冬青,木槿,芍药,玉兰,紫丁香,1
背上背着一座山，身体长得笨又圆，大海深处去游泳，沙滩上面来生蛋。 （打一动物）,海龟,寄居蟹,鲸鱼,水獭,锤头鲨,0
严查户口 （打一成语）,依草附木,吾身,无所不至,苟非,一行作吏,2
自是桃花贪结子 （中药名）,高鳍红箭,私情密语,马胎,有翅难飞,龙纹虾,2
九条江河流两处 （打一成语）,五湖四海,跨越千山万水,天各一方,志同道合,南来北往,0
伯牙望知音，琴声意绵绵。 （打一成语）,闪婚,热恋,一见钟情,白头到老,干柴烈火,2
起死回生 （打一外国名著）,蜘蛛,法师,永远不死,重生,复活,4
身子又粗又长，弯弯曲曲盘树上，虽然无手无脚，小鸟小兽当粮。 （打一动物）,巨蛇,赤鳞,蟒,雪貂,火龙,2
关公和张飞 （打一法国名著）,茶花女,包法利夫人,红与黑,雾都孤儿,基督山伯爵,2
伯牙悼子期 （打成语一）,阿豺折箭,陈情表,恸绝良久,如出一口,人琴俱亡,4
头戴周瑜帽，身穿张飞袍。自称孙伯符，脾气像马超（打一动物名）,蟋蟀,布谷鸟,蛐蛐,纺织娘,斑鸠,0
衔树枝，衔杂草，高高树上把房造，好消息，天天报，听到它叫人欢笑。 （打一动物）,麻雀,喜鹊,大雁,燕子,鸟儿,1
一曲红绡不知数 （鸟名）,霓裳,琵琶,妙音,彩凤,琴心,2
羊年新春一声duang （打三字俗语）,有理有据,留一手,信口开河,故弄玄虚,马后炮,4
意欲凌空翔 （打成语一）,沉醉,香艳,浮想联翩,着迷,心旌摇荡,2
春来植树勤出力 （植物名）,紫丁香,芍药,冬青,木槿,玉兰,3
脑袋圆圆像鸡蛋，八条长腿像小辫，浑身柔软模样怪，藏在海底很难见。 （打一动物）,章鱼,海胆,乌贼,蜘蛛蟹,蜥蜴,0
双休之日看山海 （打一成语）,密不可分,乃至,息息相关,众所周知,休戚与共,2
硬抵着头皮撞 （打一成语）,愈演愈烈,接踵而来,导火索,首当其冲,灭顶之灾,3
岁首梅花今先放 （花卉）,杜鹃花,牡丹,山茶,黄菊,水仙,2
长在水中青又青，爱她标致娶她亲，丢了她家人，就在我家生。 （打一植物）,稻子,畦,抽穗,锄头,秧苗,4
六国纵约 （药名）,望舒,颜淡,红凝,苏合,青娥,3
喂金鱼·遥对格 （鸟名）,松鸭,小云雀,七星瓢虫,猫头鹰,啄木鸟,4
独木桥畔百万兵，分开上下两队行，上边人少一当五，下边兵多听号令。 （打一物）,声东击西,抱头鼠窜,调虎离山,打将,算盘,4
取暖费 （中药名）,白前,款冬花,射干,黄芩,牡丹皮,1
扁平黑褐色，昼伏黑夜出，外号特别强。 （打一动物）,老鼠,德国小蠊,隐翅虫,蟑螂,蚊子,3
宾朋姗姗来迟 （打一成语）,狐狸,四处张望,不速之客,去而复返,红衣少女,2
待人要坦诚 （打一成语）,混淆是非,别有用心,制造舆论,落井下石,浑水摸鱼,1
小明的两包面都被偷了 （四字成语）,面面俱到,人无完人,细致,有的放矢,用心,0
一只黑狗，两头开口，一头咬柴，一头咬手。 （打一物）,火钳,灶膛,风箱,炉子,耙,0
九争第一名 （中药名）,黄精,桑寄生,玉竹,杜仲,肉苁蓉,3
悄悄话 （打一成语）,冤家宜结,异话,一面如旧,私情密语,挑字眼儿,3
千金要方 （手表名）,英纳格,西铁城,夏奈尔,浪琴,怀表,0
不弄明白不罢休 （动物名）,秋虫,知了,麻雀,蝉,斑鸠,1
高筑墙，广积粮，晚称王 （食品）,华夫饼,三明治,布丁,面包,披萨,1
春来不下种，四季不开花，越嫩越好吃，老来一包渣。 （打一植物）,口蘑,豆腐皮,香菇,花菜,木耳,2
老旧小巷黑又空 （打一成语）,信口开河,故弄玄虚,高深莫测,胡诌,拙劣,1
口哭本是心内喜 （打成语一）,乐极生悲,好事多磨,祸不单行,塞翁失马,千日打柴一日烧,0
原从外国来，红黑分两队，扑拉扑拉一桌子。 （打一物）,乒乓球拍,跳棋,卡片,小积木,扑克牌,4
静候送礼人 （打成语一）,虚怀若谷,待人接物,谦和,品行,言谈举止,1
为椰城点一赞 （打四字俗语）,打包票,说话算数,夸下海口,信誓旦旦,食言而肥,2
身体黑糊糊，捉鱼在江湖，看着吃得饱，其实常饿肚。 （打一动物）,鱼鹰,水鸟,白鹭,鸬鹚,野鸭,3
千丝万缕 （中药名）,罗布麻,五味子,绿萝花,何首乌,牛蒡根,0
冰岩 （中药名）,芒硝,秦皮,天花粉,寒水石,防己,3
百年树木，七月芭蕉。 （打成语一）,不拘小节的人,心细,粗枝大叶,斤斤计较,毛手毛脚,2
气冲宵汉 （中国电影）,自命不凡,憎恨,愤怒的人,歇斯底里,可怜虫,2
舜崩，二妃啼。 （打一网络称谓）,牵蔓,老榕,芭蕉,斑竹,芙蓉,3
望星空 （中药名）,葛根,绞股蓝,黄精,杜仲,天麻,4
生了孩子忘了娘 （打成语一）,心存侥幸,操之过急,三思而行,丢了西瓜拣芝麻,因小失大,4
孕妇走钢丝 （打一成语）,知法犯法,顶风作案,牟取暴利,钻空子,铤而走险,4
刚刚惹恼了那厮 （打一成语）,秀外慧中,文采风流,出口成章,才气过人,满腹诗书,3
尾巴长长耳尖尖，贼头贼脑讨人厌。传播疾病危害大，夜出昼伏善攀爬。 （打一动物）,兔子,青蛙,老鼠,狐狸,臭鼬,2
与敌为伍 （俗语五字）,同行是冤家,老交情,睁眼说瞎话,人怕出名猪怕壮,藏龙卧虎,0
细高个子长几丈，一声巨吼飞天上，能载卫星游九宵，不吃不喝有力量。 （打一物）,哈登,勇士,火箭,黄蜂,得分王,2
贡献杰出能光宗 （打一动物）,狼獾,猞猁,美洲豹,黑猩猩,棕熊,4
三者同日生 （中国电影）,℡,涛声依旧,让我轻轻的告诉你,星星星,丬,3
窗前聚首 （称谓职务）,穴头,平鹰坟,老将出马,山西家信,神仙一把抓,0
分寸 （打四字口语）,节外生枝,别冲动,待会,小心一点,见机行事,3
画梅 （打一成语）,出口成章,八斗之才,思如泉涌,文不加点,笔下生花,4
笑不露齿 （打一报刊名）,歌曲,轻音乐,神秘园,班德瑞,蓝色的爱,1
何来贵州名酒香 （打一成语）,如坐春风,一语破的,村学究,顿开茅塞,妙论,3
木匠做枷枷木匠 （打成语一）,命该如此,倒打一耙,多管闲事,报应不爽,自作自受,4
长篇小说（打一成语）,一言难尽,差强人意,2333333,浮夸,不伦不类,0
峡谷觅食性凶狠，身姿矫健空中飞。 （打一鸟类）,金雕,隼,狼,豹,鹰,4
牵着巨轮离码头，拖着鱼网向前游，船身虽小力气大，拉着木伐水中走。 （打一物）,大副,航行,直升机,救生艇,拖船,4
出口背心 （打一成语）,言不由衷,谎话,故作姿态,有口无心,虚情假意,0
头上长着树杈杈，身上穿着花褂褂，森林里边跑得快，高山陡坡它不怕。 （打一动物）,狍子,山羊,梅花鹿,丹顶鹤,雪鸡,2
客来先请我，客去又谢我，皇上到百姓，谁都难离我。 （打一植物）,茶叶,正山小种,龙井,咖啡,铁观音,0
断交之后如路人 （打一成语）,喜忧参半,绝处逢生,背水一战,拨云见日,四面楚歌,1
人送小名家巧儿，爱吃谷物不吃草。 （打一动物）,蟋蟀,野鸭,乌鸫,灰喜鹊,麻雀,4
天女散花 （打二字中药）,延胡索,甘松,血竭,苏合油,降香,4
潇湘痴情向谁诉 （聊斋志异篇目）,六年春遣怀八首,白于玉,绩女,青娥,与元微之书,1
文王夜梦飞熊兆 （打一成语）,其乐无穷,武林高手,将遇良才,英雄识英雄,酒逢知己,2
千军万马随其后 （打一称谓）,木匠,大师傅,老板娘,厨子,吃客,1
南京花香 （歌曲名）,慧慧,嫂子,小芳,倩倩,阿霞,2
一个姑娘轻飘飘，摇摇摆摆上九宵，一心只想天河去，人在凡间把手招。 （打一物）,蚂蚱,捉蝴蝶,稻草人,风筝,越飞越高,3
壮士一去兮不复返·蜓尾格 （动物名）,鱼鹰,食肉动物,野牛,猞猁,猛禽,4
大雨没法抵得住 （打一成语）,天下无敌,夸口,武林高手,狂妄自大,不过尔尔,0
年初出门，年末回家 （打一成语）,一路平安,寻宝,来到这里,满载而归,喜气洋洋,3
小人无用 （中药名）,射干,郁金,紫花地丁,半枝莲,使君子,4
样子像个元宝，角儿两头翘，硬皮包白肉，要吃湖里找。 （打一植物）,藕,菱角,茨菰,苇叶,茭儿菜,1
酉时开刀惊悟空 （打一成语）,威风扫地,鹬蚌相争,杀鸡吓猴,蛇鼠一窝,狗仗人势,2
智囊团聚会（打一成语）,藏龙卧虎,拜帅,群英会,粉墨登场,名震,2
尽数查询渝沪京 （打一成语）,而如今,江河日下,鲜有,无人问津,门可罗雀,3
汉献帝下衣带诏 （打一职务冠姓）,特助,办公室主任,方经理,处长,王秘书,4
听说是姓任，人方二十八 （中药名）,杏仁,核桃,燕麦片,扁豆,肉桂,0
问女何所思 （中国电影）,自言自语,你在想什么,答非所问,干吗,不要以为我,1
春到老挝首都 （打成语一）,一元复始,金鸡报喜,万象更新,物换星移,龙抬头,2
尖尖头，尖尖脑，不是运动员，天天练跳高。 （打一动物）,蚱蜢,蟋蟀,蛐蛐儿,屎克郎,蜻蜓,0
对影成三人·卷帘格 （马名）,丽人行,韩幹,韦偃,照夜白,画马,3
主观客观（打一成语）,心不在焉,蹦蹦跳跳,鬼头鬼脑,左顾右盼,东张西望,4
绿叶叶，红蔓蔓，地下有窝红蛋蛋。 （打一农作物）,南瓜,板栗,红薯,杂粮,芋头,2
先生不知何许人也 （打一成语）,首鼠两端,不得人心,犯上作乱,师出无名,吊民伐罪,3
东风第一枝 （中药名）,青萝,琴儿,梅露,凤仙,苏合,2
汕头人在变化 （花卉树木）,莲,水仙,名花,香雪兰,海棠,1
日飞落树上，夜晚到庙堂。不要看我小，有心肺肝肠（打一动物名）,野鸭,麻雀,灰喜鹊,乌鸫,蟋蟀,1
红又红，黑又黑，吃得栽不得。 （打一植物）,木耳,豆腐皮,口蘑,香菇,花菜,3
喜马拉雅 （打一成语）,百代,藏之名山,贤人君子,史记,论语,1
弯弯曲曲一座山，小姐登在绣房间，无聊男子来捞我，小姐就把房门关。 （打一动物）,黄鳝,河蚌,蛏子,田螺,螃蟹,3
鬼神泣壮烈 （打成语一）,一表非凡,弱冠,逸群之才,日下无双,龙眉凤目,0
刷墙工夫好 （打一成语）,装疯卖傻,粉饰太平,曲意逢迎,歌功颂德,惺惺作态,1
0000 （打一成语）,万无一失,绝不可能,事关重大,十拿九稳,防患未然,0
整容师 （打成语一）,成人之美,道不同不相为谋,真君子,牵线搭桥,善始善终,0
张横 （打成语一）,不足为训,一得之见,公诸同好,浅陋,窥其门径,1
老人大联欢 （打一成语）,节外生枝,等闲视之,从长计议,兹事体大,非同儿戏,4
中心 （打一成语）,不着边际,颠三倒四,高谈阔论,云山雾罩,东拉西扯,0
窃窃私语 （打一成语）,盗亦有道,过河拆桥,为民除害,江湖规矩,杀人偿命，欠债还钱,0
狸 （四字电影）,西部狂野,美国派2,恐惧的总和,巴里林登,甘泉玛侬,0
嘴黑脚黄满身乌，脚踏麻绳走光路，别人看我吃饱饭，吃得进去白辛苦。 （打一动物）,鱼鹰,白鹭,鸬鹚,野鸭,水鸟,2
拉郎配 （歌曲名）,曲婉婷,中华民谣,周蕙,好汉歌,纤夫的爱,4
山中无老虎，猴子称大王 （三字口语）,自命不凡,丢面子,出风头,招摇,沽名钓誉,2
聊起猜谜笑颜开 （打一成语）,讳莫如深,谈虎色变,敬而远之,夸大其词,鸡飞狗走,1
一个老头尺把长，胡子长在头顶上，身穿几层单衫子，巧把珍珠衣内藏。 （打一植物）,小麦,水稻,玉米,大豆,高粱,2
傍晚到达目的地 （打一成语）,末路,日暮途穷,朝不虑夕,困兽犹斗,四面楚歌,1
百花丛中最鲜艳 （打一职位冠国籍）,艾德礼,外交官,特蕾莎·梅,英国首相,总统,3
样子圆圆像块表，随身携带真正好，东西南北能分清，领路是位好向导。 （打一物）,gps手表,圆规,导航工具,地球仪,指南针,4
首道求贤令 （打一成语）,一表人才,气度不凡,相貌堂堂,英俊潇洒,文质彬彬,0
上无片瓦，下无立锥之地。 （打一俗语）,好东西,哭了,回家,舍不得,说实在的,3
小时候有尾巴，长大后尾巴不见了。 （打一动物）,水獭,狒狒,青蛙,乌龟,小鸭子,2
